,Neighborhood,Neighborhood Latitude,Neighborhood Longitude,Venue,Venue Latitude,Venue Longitude,Venue Category
0,Wakefield,40.89470518,-73.84720052,Dunkin',40.89045878,-73.84908887,Donut Shop
1,Wakefield,40.89470518,-73.84720052,Subway,40.89046822,-73.84915202,Sandwich Place
2,Wakefield,40.89470518,-73.84720052,Pitman Deli,40.89674377,-73.8443985,Food
3,Wakefield,40.89470518,-73.84720052,Central Deli,40.896728,-73.844387,Deli / Bodega
4,Wakefield,40.89470518,-73.84720052,Louis Pizza,40.898399,-73.84881,Pizza Place
5,Co-op City,40.87429419,-73.82993911,Capri II Pizza,40.87637421,-73.82994043,Pizza Place
6,Co-op City,40.87429419,-73.82993911,Bagels on Bartow,40.87028,-73.828611,Bagel Shop
7,Co-op City,40.87429419,-73.82993911,Arby's,40.8704113,-73.828606,Fast Food Restaurant
8,Co-op City,40.87429419,-73.82993911,Townhouse Restaurant,40.87608589,-73.82886815,Restaurant
9,Co-op City,40.87429419,-73.82993911,Capri Deli,40.8762207,-73.82968903,Deli / Bodega
10,Co-op City,40.87429419,-73.82993911,Guang Hui Chinese Restaurant,40.876651,-73.829092,Chinese Restaurant
11,Co-op City,40.87429419,-73.82993911,Kennedy Fried Chicken & Pizza,40.876651,-73.829092,Fried Chicken Joint
12,Co-op City,40.87429419,-73.82993911,Kennedy's,40.87680662,-73.82962704,Fast Food Restaurant
13,Co-op City,40.87429419,-73.82993911,Uncle Pauls Jerk Sauce,40.8772316,-73.82785034,American Restaurant
14,Co-op City,40.87429419,-73.82993911,Seven Seas,40.87028,-73.828611,Restaurant
15,Co-op City,40.87429419,-73.82993911,Bartow Pizza,40.87028,-73.828611,Pizza Place
16,Eastchester,40.88755568,-73.82780645,Cozy Cottage Restaurant,40.88633207,-73.82761562,Diner
17,Eastchester,40.88755568,-73.82780645,Fish & Ting,40.885656,-73.829197,Caribbean Restaurant
18,Eastchester,40.88755568,-73.82780645,Mario's Pizza,40.88862762,-73.83126013,Pizza Place
19,Eastchester,40.88755568,-73.82780645,Dyre Fish Market,40.88931764,-73.83145257,Seafood Restaurant
20,Eastchester,40.88755568,-73.82780645,Dunkin',40.88538419,-73.82809876,Donut Shop
21,Eastchester,40.88755568,-73.82780645,Dyre Deli Grocery,40.88823525,-73.83128233,Deli / Bodega
22,Eastchester,40.88755568,-73.82780645,Golden Krust Caribbean Restaurant,40.888488,-73.831083,Caribbean Restaurant
23,Eastchester,40.88755568,-73.82780645,Royal Caribbean Bakery,40.888249,-73.831661,Caribbean Restaurant
24,Eastchester,40.88755568,-73.82780645,Dyre Ave Diner,40.88796873,-73.83141284,Diner
25,Eastchester,40.88755568,-73.82780645,McDonald's,40.88563631,-73.82683956,Fast Food Restaurant
26,Eastchester,40.88755568,-73.82780645,Sunshine Supermarket,40.888888,-73.831019,Deli / Bodega
27,Eastchester,40.88755568,-73.82780645,Xing Lung Chinese Restaurant,40.88878547,-73.83122577,Chinese Restaurant
28,Eastchester,40.88755568,-73.82780645,Hostess Cakes,40.884608,-73.827487,Bakery
29,Riverdale,40.89083449,-73.91258546,Park Lunch,40.88705255,-73.9131535,Food Truck
30,Kingsbridge,40.88168737,-73.90281799,Leche y Miel,40.883742,-73.901857,Latin American Restaurant
31,Kingsbridge,40.88168737,-73.90281799,Kingsbridge Social Club,40.884581,-73.901999,Pizza Place
32,Kingsbridge,40.88168737,-73.90281799,El Malecon,40.87933807,-73.90445707,Caribbean Restaurant
33,Kingsbridge,40.88168737,-73.90281799,Sam's Pizza,40.87943502,-73.9058588,Pizza Place
34,Kingsbridge,40.88168737,-73.90281799,Smashburger,40.88422085,-73.90033255,Burger Joint
35,Kingsbridge,40.88168737,-73.90281799,Estrellita Poblana V,40.87968704,-73.90625683,Mexican Restaurant
36,Kingsbridge,40.88168737,-73.90281799,Loeser's Delicatessen,40.879111,-73.905693,Sandwich Place
37,Kingsbridge,40.88168737,-73.90281799,Picante Picante Mexican Restaurant,40.878252,-73.902936,Mexican Restaurant
38,Kingsbridge,40.88168737,-73.90281799,El Economico Restaurant,40.87933019,-73.90459711,Spanish Restaurant
39,Kingsbridge,40.88168737,-73.90281799,Q'Kachapa,40.88000589,-73.90415709,Spanish Restaurant
40,Kingsbridge,40.88168737,-73.90281799,Buffalo Wild Wings,40.88446011,-73.90042394,Wings Joint
41,Kingsbridge,40.88168737,-73.90281799,Chipotle Mexican Grill,40.8845662,-73.90047376,Mexican Restaurant
42,Kingsbridge,40.88168737,-73.90281799,S & S Cheesecake,40.88479273,-73.89986082,Bakery
43,Kingsbridge,40.88168737,-73.90281799,Riverdale Diner,40.88518285,-73.89948352,Diner
44,Kingsbridge,40.88168737,-73.90281799,Dunkin',40.87930809,-73.9050664,Donut Shop
45,Kingsbridge,40.88168737,-73.90281799,Broadway Pizza & Pasta,40.87882247,-73.90449403,Pizza Place
46,Kingsbridge,40.88168737,-73.90281799,Silhouette Restaurant & Lounge,40.88070644,-73.90268654,Latin American Restaurant
47,Kingsbridge,40.88168737,-73.90281799,Subway,40.87846498,-73.90551764,Sandwich Place
48,Kingsbridge,40.88168737,-73.90281799,Land & Sea Restaurant,40.87788463,-73.90587282,Seafood Restaurant
49,Kingsbridge,40.88168737,-73.90281799,Little Caesars Pizza,40.88000167,-73.90413957,Pizza Place
50,Kingsbridge,40.88168737,-73.90281799,Papa John's Pizza,40.87840652,-73.90299225,Pizza Place
51,Kingsbridge,40.88168737,-73.90281799,IHOP,40.88042209,-73.90401864,Breakfast Spot
52,Kingsbridge,40.88168737,-73.90281799,Gold Mine Cafe,40.87891577,-73.90469764,Café
53,Kingsbridge,40.88168737,-73.90281799,KFC,40.88016383,-73.90425289,Fried Chicken Joint
54,Kingsbridge,40.88168737,-73.90281799,Dunkin',40.88444152,-73.90018468,Donut Shop
55,Kingsbridge,40.88168737,-73.90281799,Papa John's Pizza,40.87846686,-73.90299732,Pizza Place
56,Kingsbridge,40.88168737,-73.90281799,Domino's Pizza,40.8842,-73.9024,Pizza Place
57,Kingsbridge,40.88168737,-73.90281799,Hola España,40.87915969,-73.90455296,Latin American Restaurant
58,Kingsbridge,40.88168737,-73.90281799,Popeyes Louisiana Kitchen,40.87933423,-73.90495493,Fried Chicken Joint
59,Kingsbridge,40.88168737,-73.90281799,McDonald's,40.8840672,-73.9017116,Fast Food Restaurant
60,Marble Hill,40.87655078,-73.91065966,Arturo's,40.87441177,-73.91027101,Pizza Place
61,Marble Hill,40.87655078,-73.91065966,Tibbett Diner,40.88040442,-73.90893738,Diner
62,Marble Hill,40.87655078,-73.91065966,Dunkin',40.87713584,-73.90666551,Donut Shop
63,Marble Hill,40.87655078,-73.91065966,Land & Sea Restaurant,40.87788463,-73.90587282,Seafood Restaurant
64,Marble Hill,40.87655078,-73.91065966,Subway,40.87466653,-73.90958584,Sandwich Place
65,Marble Hill,40.87655078,-73.91065966,Subway,40.87846498,-73.90551764,Sandwich Place
66,Marble Hill,40.87655078,-73.91065966,Boston Market,40.87743,-73.9054121,American Restaurant
67,Marble Hill,40.87655078,-73.91065966,Parrilla Latina,40.87747294,-73.90607347,Steakhouse
68,Marble Hill,40.87655078,-73.91065966,Kennedy Chicken & Pizza,40.87524033,-73.90942383,Fast Food Restaurant
69,Marble Hill,40.87655078,-73.91065966,Hernandez Grocery,40.87596512,-73.91299438,Deli / Bodega
70,Marble Hill,40.87655078,-73.91065966,Rosarina Bakery (aka Franco Bakery),40.8748701,-73.90939769,Bakery
71,Marble Hill,40.87655078,-73.91065966,Terrace View Delicatessen,40.875995,-73.913151,Deli / Bodega
72,Marble Hill,40.87655078,-73.91065966,China Wang,40.87434742,-73.91054009,Chinese Restaurant
73,Marble Hill,40.87655078,-73.91065966,Applebee's Grill + Bar,40.87368548,-73.90892769,American Restaurant
74,Marble Hill,40.87655078,-73.91065966,Grill 26 at TCR,40.87880221,-73.9156723,American Restaurant
75,Marble Hill,40.87655078,-73.91065966,Auntie Anne's #210,40.87760056,-73.90488597,Snack Place
76,Woodlawn,40.89827261,-73.86731497,Katonah Pizza and Pasta,40.89878411,-73.86745707,Pizza Place
77,Woodlawn,40.89827261,-73.86731497,Curry Spot,40.89762494,-73.86714729,Indian Restaurant
78,Woodlawn,40.89827261,-73.86731497,Patrizia's Of Woodlawn,40.9006384,-73.86772362,Italian Restaurant
79,Woodlawn,40.89827261,-73.86731497,The Chipper Truck,40.8996195,-73.87147354,Food Truck
80,Woodlawn,40.89827261,-73.86731497,Sean's Quality Deli,40.897669,-73.867445,Deli / Bodega
81,Woodlawn,40.89827261,-73.86731497,Dunkin',40.89603641,-73.86357008,Donut Shop
82,Woodlawn,40.89827261,-73.86731497,Linda's Pizza,40.900013,-73.867388,Pizza Place
83,Woodlawn,40.89827261,-73.86731497,Bella Napoli 2,40.896781,-73.867338,Pizza Place
84,Woodlawn,40.89827261,-73.86731497,Greenland Deli,40.89893285,-73.86754567,Deli / Bodega
85,Woodlawn,40.89827261,-73.86731497,Angelica's Bakery,40.89918284,-73.86755276,Bakery
86,Woodlawn,40.89827261,-73.86731497,The Kitchen,40.899733,-73.867408,American Restaurant
87,Woodlawn,40.89827261,-73.86731497,Woodlawn Deli,40.897045,-73.86737,Deli / Bodega
88,Woodlawn,40.89827261,-73.86731497,Tri-Edys Deli,40.900073,-73.867977,Deli / Bodega
89,Woodlawn,40.89827261,-73.86731497,The Corner Scone,40.898598,-73.862579,Deli / Bodega
90,Woodlawn,40.89827261,-73.86731497,Bella Napoli 2,40.89672979,-73.86231987,Pizza Place
91,Norwood,40.87722416,-73.87939074,Sal's Pizzeria,40.87526935,-73.87956261,Pizza Place
92,Norwood,40.87722416,-73.87939074,Marconi Pizzeria,40.88076641,-73.87780802,Pizza Place
93,Norwood,40.87722416,-73.87939074,Queen of Tacos,40.8802,-73.883434,Mexican Restaurant
94,Norwood,40.87722416,-73.87939074,V.I.P.'S Cafe,40.88156583,-73.87929924,Restaurant
95,Norwood,40.87722416,-73.87939074,Golden Krust Caribbean Restaurant,40.881672,-73.878996,Caribbean Restaurant
96,Norwood,40.87722416,-73.87939074,Tasty Picks,40.88166539,-73.87948377,Deli / Bodega
97,Norwood,40.87722416,-73.87939074,SUBWAY,40.8728181,-73.87831164,Sandwich Place
98,Norwood,40.87722416,-73.87939074,Domino's Pizza,40.87288017,-73.87815088,Pizza Place
99,Norwood,40.87722416,-73.87939074,Nicky's Pizza & Ristorante,40.87337459,-73.88050846,Pizza Place
100,Norwood,40.87722416,-73.87939074,Green Valley Gourmet Deli,40.875888,-73.87925,Deli / Bodega
101,Norwood,40.87722416,-73.87939074,Mar y Tierra Restaurant and Lounge,40.87670517,-73.87953186,Mexican Restaurant
102,Norwood,40.87722416,-73.87939074,Norwood Deli & Grocery,40.87568064,-73.8794324,Deli / Bodega
103,Norwood,40.87722416,-73.87939074,McDonald's,40.872894,-73.878677,Fast Food Restaurant
104,Norwood,40.87722416,-73.87939074,M & R Pizza,40.88057929,-73.88322102,Pizza Place
105,Norwood,40.87722416,-73.87939074,Panda House,40.875102,-73.879803,Chinese Restaurant
106,Norwood,40.87722416,-73.87939074,El Presidente II,40.88051621,-73.88323278,Spanish Restaurant
107,Norwood,40.87722416,-73.87939074,Alex's Café-sito,40.87977656,-73.87975397,Food Truck
108,Norwood,40.87722416,-73.87939074,Montefiore Cafetaria,40.880236,-73.879193,Cafeteria
109,Norwood,40.87722416,-73.87939074,7's fish market,40.87413788,-73.87966156,Fish & Chips Shop
110,Norwood,40.87722416,-73.87939074,Bainbridge Bakery,40.8738792,-73.87938072,Bakery
111,Norwood,40.87722416,-73.87939074,Ming Liang Kitchen,40.879876,-73.876629,Chinese Restaurant
112,Norwood,40.87722416,-73.87939074,Anthony's Famous Gourmet Deli,40.880738,-73.87811371,Deli / Bodega
113,Norwood,40.87722416,-73.87939074,Amel & Dean Deli Grocery,40.88092048,-73.87817403,Deli / Bodega
114,Norwood,40.87722416,-73.87939074,Tradita,40.873182,-73.879049,Pizza Place
115,Norwood,40.87722416,-73.87939074,Sing Fei Chinese Restaurant,40.879907,-73.875307,Chinese Restaurant
